SPEELPLEKCODE,STRAAT,WIJK,DOELGROEP,afstand_m
12141,Wolphaertshof,Oud Charlois,Speelplekje,82.6
12263,Wandeloordlaan,Nieuw Crooswijk,Sport- en Speel,82.6
10158,Maeterlinckweg,Lombardijen,Sport- en Speel,82.7
143,Bijster,Hoogvliet Zuid,Sport- en Speel,82.7
1260,Bergumermeer,Zevenkamp,Sport- en Speel,83.2
11999,Prins Hendrikweg,Dorp,Sport- en Speel,83.4
12200,Baarsweg,Hoogvliet Zuid,Sport- en Speel,83.7
1216,Blauwgras,Ommoord,Sport- en Speel,84.3
11724,Louwerslootstraat,Oude Noorden,Sport- en Speel,84.5
1083,Cadetstraat,Oud IJsselmonde,Speelplekje,84.7
1313,Vignolastraat,Prinsenland,Speelplekje,84.9
10526,Hoge Boezem,Kralingen West,Speelplekje,84.9
346,Socratesstraat,Lombardijen,Sport- en Speel,84.9
12187,Lodewijk Rogierhof,Zestienhoven,Sport- en Speel,85.2
10764,Hoge Weije,Hoogvliet Zuid,Restruimte,85.3
11639,Nachtegaalplein,Oud Charlois,Sport- en Speel,85.5
10903,Jacominastraat,Afrikaanderwijk,Sport- en Speel,85.6
10844,Hesselskamp,Zuidwijk,Speelplekje,85.6
970,Sionstraat,Kralingen West,Sport- en Speel,86.1
1336,De Klerkstraat,Het Lage Land,Sport- en Speel,86.2
10902,Joubertstraat,Afrikaanderwijk,Pocketpark,86.3
1258,Kurt Weillstraat,Zevenkamp,Sport- en Speel,86.5
10458,Boerschaplaan,Oud Crooswijk,Pocketpark,86.6
127,Tormentil,Hoogvliet Zuid,Sport- en Speel,86.7
294,Emmalaan,Hillegersberg Zuid,Pocketpark,86.8
10082,Dosiostraat,Prinsenland,Speelplekje,87.2
1373,Sevenaerstraat,Beverwaard,Speelplekje,87.4
10710,Oudedijk,Kralingen West,Sport- en Speel,87.5
10004,Tweebosstraat,Afrikaanderwijk,Restruimte,87.5
11010,Ekster,Hoogvliet Zuid,Restruimte,87.8
1046,Aleidisstraat,Middelland,Pocketpark,87.9
1468,Bommelerwaard,Groot IJsselmonde,Pocketpark,87.9
11919,Herenplaats,Stadsdriehoek,Sport- en Speel,88.0
10512,Boris Pasternakstraat,Ommoord,Sport- en Speel,88.3
10108,Weteringstraat,Kralingen West,Sport- en Speel,88.4
548,Halsterenstraat,Pendrecht,Speelplekje,88.5
736,Coolhavenstraat,Delfshaven,Speelplekje,88.5
12089,Sluiskreek,Groot IJsselmonde,Restruimte,88.6
11641,Aalsdijk,Groot IJsselmonde,,88.8
812,Schiebroeksestraat,Liskwartier,Restruimte,88.9
12280,Bree,Hillesluis,Sport- en Speel,89.0
11049,Robert Baeldestraat,Kralingen West,Sport- en Speel,89.5
578,Willem Barentsstraat,Dorp,Speelplekje,89.8
11665,Stormerdijk,Groot IJsselmonde,Speelplekje,90.5
12083,Eijkmanhof,Zestienhoven,Sport- en Speel,90.6
1247,Dieze,Zevenkamp,Sport- en Speel,90.6
12147,Desdemonastraat,Hoogvliet Noord,Centrale Ontmoe,91.0
995,Jaap Valkhoffplein,Nieuwe Westen,Sport- en Speel,91.0
11446,Roggeveenstraat,Dorp,Speelplekje,91.3
10428,Verschoorstraat,Tarwewijk,Sport- en Speel,92.1
11593,de Plataan,Rozenburg,Sport- en Speel,92.2
598,Zeeanemoon,Strand en Duin,Restruimte,92.4
11722,Statenweg,Blijdorp,Sport- en Speel,92.9
828,Bergstraat,Oude Noorden,Sport- en Speel,93.3
1238,Harp,Zevenkamp,Pocketpark,94.2
485,Texelsestraat,Carnisse,Pocketpark,94.3
10702,Meermanstraat,Rubroek,Sport- en Speel,94.4
12109,Pascalweg,Lombardijen,Sport- en Speel,94.5
12288,Adriaan Volkerlaan,Groot IJsselmonde,Restruimte,94.5
10951,Agata de Bruynkade,Nesselande,Pocketpark,94.6
1177,Steenbreekvaren,Ommoord,Speelplekje,94.7
10101,Kralingse Plas,Kralingse Bos,Pocketpark,94.9
11951,Kosboulevard,Nesselande,Speelplekje,95.8
10971,Puitstraat,Hoogvliet Zuid,Sport- en Speel,95.8
117,Wielewaal,Hoogvliet Zuid,Sport- en Speel,95.9
11375,Parallelweg,Afrikaanderwijk,Speelplekje,96.5
11013,Herman Bielingplein,Nesselande,Sport- en Speel,96.5
10538,Kreekkade,Groot IJsselmonde,voetbalveld,97.0
887,Jaffahof,Kralingen West,Speelplekje,97.0
1189,Bosbes,Ommoord,Restruimte,97.1
10250,Dopheide,Ommoord,Pocketpark,97.1
149,Makreelstraat,Hoogvliet Zuid,Speelplekje,97.6
787,Vroesenpark,Blijdorp,Sport- en Speel,97.7
11575,Waalstraat[RZB],Rozenburg,Speelplekje,97.8
798,Berkelselaan,Bergpolder,Sport- en Speel,97.9
12121,Tulpenstraat,Rozenburg,Speelplekje,97.9
11667,Elfstedenstraat,Groot IJsselmonde,Speelplekje,98.1
426,Hilledijk,Afrikaanderwijk,Sport- en Speel,98.2
10828,Wijkpark Oude Westen,Oude Westen,Sport- en Speel,98.3
1231,Kuinder,Zevenkamp,Speelplekje,98.5
1054,Oostendamstraat,Bloemhof,Speelplek,98.6
11574,Maasstraat[RZB],Rozenburg,Speelplekje,99.1
935,Naaldwijkstraat,Kralingen West,Pocketpark,99.3
424,Martinus Steijnstraat,Afrikaanderwijk,Speelplekje,99.4
12113,Druivenhoek,Rozenburg,Speelplekje,99.4
11397,Herikweg,Hoogvliet Noord,Sport- en Speel,99.6
11359,Schout Eeuwoutstraat,Pernis,Restruimte,99.7
1208,Passiebloem,Ommoord,Centrale Ontmoe,100.0
