SPEELPLEKCODE,STRAAT,WIJK,DOELGROEP,afstand_m
997,Nieuwe Boezemstraat,Oud Crooswijk,Sport- en Speel,23.6
11921,Marcel Duchampplein,Nesselande,Centrale Ontmoe,23.7
898,Pinasplein,Oud Mathenesse,Sport- en Speel,24.2
832,Schiekade,Stadsdriehoek,,24.6
10696,Aveling,Hoogvliet Zuid,Sport- en Speel,24.8
256,Welhoeksedijk,Hoogvliet Zuid,Sport- en Speel,25.1
11810,Dreischorstraat,Pendrecht,Pocketpark,25.1
12251,Gashouderstraat,Kralingen West,Sport- en Speel,25.2
11379,Sint-Jacobsplaats,Stadsdriehoek,Speelplekje,25.2
11047,Donkerslootstraat,Hillesluis,Restruimte,25.2
425,Posthumalaan,Kop van Zuid,,25.3
11965,West-Varkenoordseweg,Hillesluis,Restruimte,25.6
10947,Stroveer,Oude Noorden,Sport- en Speel,25.6
11435,Hoogvlietsekerkweg,Hoogvliet Noord,Sport- en Speel,25.7
1441,Valkenstraat,Stadsdriehoek,Sport- en Speel,25.8
11633,Hazelaarweg,Schiebroek,Sport- en Speel,25.8
11256,Arolsenplein,Hillegersberg Zuid,Sport- en Speel,25.9
1417,Tom Mandershof,Cool,Speelplekje,26.1
11425,Spijkenissestraat,Tarwewijk,Speelplek,26.7
331,Koopvaardijhof,Noordereiland,Sport- en Speel,27.0
796,Van Goensstraat,Blijdorp,Pocketpark,27.4
10936,Schiehaven,Schiemond,Centrale Ontmoe,27.4
12021,Schieveenstraat,Liskwartier,Restruimte,27.8
11764,Werkhoefstraat,Nieuwe Westen,Sport- en Speel,28.0
10106,Honingbijstraat,Kralingen West,Sport- en Speel,28.0
1103,Rusthoflaan,Nieuw Crooswijk,Sport- en Speel,28.2
215,Kardoenhof,Hoogvliet Noord,Sport- en Speel,28.5
12245,Lange Hilleweg,Bloemhof,Speelplekje,28.6
11097,Lindesingel,Schiebroek,Pocketpark,28.9
1062,Linker Rottekadehof,Rubroek,Sport- en Speel,29.0
1071,Haverlandstraat,Rubroek,Sport- en Speel,29.0
1170,Hopklaver,Ommoord,Sport- en Speel,29.4
10961,Pluizenmeer,Zevenkamp,Sport- en Speel,29.6
11413,Stationsweg,Strand en Duin,Sport- en Speel,29.7
863,Leendert Butterstraat,Kralingen Oost,Speelplekje,29.8
11981,Schiedamsesingel,Cool,Pocketpark,29.8
12201,Beekweg,Zestienhoven,Centrale Ontmoe,29.9
1020,Baljuwplein,Provenierswijk,Pocketpark,30.0
1460,Ada Lovelacestraat,Zestienhoven,,30.1
11688,Olympiaweg,Groot IJsselmonde,Sport- en Speel,30.1
11458,Brielselaan,Tarwewijk,Restruimte,30.5
525,Karel de Stouteplein,Oud Charlois,Centrale Ontmoe,30.9
1051,Hendrik de Keyserstraat,Oud Crooswijk,Sport- en Speel,30.9
11239,Wevershoekstraat,Zuidplein,Sport- en Speel,31.1
11219,Dadeltuin,Groot IJsselmonde,Sport- en Speel,31.3
664,Oostmaaslaan,Struisenburg,Speelplekje,31.4
1324,Jacob Vaillantpad,s Gravenland,Speelplekje,31.5
931,Mathenesserweg,Spangen,Centrale Ontmoe,31.7
10462,Marthalaan,Hoogvliet Noord,Speelplekje,31.7
10035,Heindijk,Groot IJsselmonde,Pocketpark,32.8
716,Aegidiusstraat,Kralingen West,Pocketpark,33.2
12286,Adriaan Volkerlaan,Groot IJsselmonde,Restruimte,33.3
11075,Achterdijk,Landzicht,Speelplekje,33.3
11719,Koolwitjespad,Hoogvliet Zuid,Speelplekje,33.4
11165,Charloisse Hoofd,Oud Charlois,Pocketpark,33.7
1514,Dwarsdijk,Groot IJsselmonde,Sport- en Speel,33.8
11684,Landkaartjehof,Hoogvliet Zuid,Speelplek,34.5
871,Kedoestraat,Schiemond,Sport- en Speel,34.9
12264,Sint-Jobsweg,Schiemond,Pocketpark,35.1
11718,Zilvervlekhof,Hoogvliet Zuid,Speelplekje,35.2
12001,Bergwegplantsoen,Liskwartier,Sport- en Speel,35.3
11279,Carel Willinksingel,Nesselande,Sport- en Speel,35.9
694,Oostmaaslaan,Struisenburg,Sport- en Speel,36.1
12095,Langeweg,Strand en Duin,Sport- en Speel,36.4
12163,De Groot Stiffryplantsoen,Kleinpolder,Sport- en Speel,36.6
816,Lisplein,Liskwartier,Restruimte,36.7
1088,Vosbergendam,Beverwaard,Sport- en Speel,36.9
729,Lelyboskade,Delfshaven,Sport- en Speel,36.9
11696,Groene Kruisweg,Hoogvliet Noord,Speelplekje,37.2
428,Kaapstraat,Afrikaanderwijk,Sport- en Speel,37.4
11528,Korianderplaats,Rozenburg,Speelplekje,37.6
10730,Plantagelaan,De Esch,Sport- en Speel,37.7
10078,Dijkstraat,Kralingen West,Sport- en Speel,37.9
11217,Zuiderpark,Zuiderpark,Centrale Ontmoe,38.2
211,Kaneelhof,Hoogvliet Noord,Pocketpark,38.2
1094,Prattenburgplein,Beverwaard,Pocketpark,38.3
825,Schout Heynricstraat,Agniesebuurt,Sport- en Speel,38.5
11175,Briandplaats,Ommoord,Speelplekje,39.0
886,Kedoestraat,Schiemond,Sport- en Speel,39.1
388,Zaailand,Vreewijk,Pocketpark,39.1
12134,Wessel Gansfortweg,Hillegersberg Zuid,Restruimte,39.2
12164,Burgemeester Noletlaan,Kleinpolder,Sport- en Speel,39.2
10777,Willem de Zwijgerstraat,Overschie,,39.4
11073,Schotelmos,Ommoord,Speelplekje,39.6
1498,Grote Kreek,Groot IJsselmonde,Sport- en Speel,40.1
373,Draaischijf,Kop van Zuid - Entrepot,Sport- en Speel,40.1
67,Wilgenplaspark,Schiebroek,Sport- en Speel,40.2
11481,Grift,Vreewijk,Sport- en Speel,40.7
1063,Oudaenstraat,Rubroek,Sport- en Speel,41.1
309,Roozandstraat,Pernis,Sport- en Speel,41.2
10124,Ommoordse Veld,Ommoord,Sport- en Speel,41.3
882,Kedoestraat,Schiemond,Speelplekje,41.3
10850,Roel Langerakweg,Blijdorpsepolder,Centrale Ontmoe,41.7
10848,Hudsonplein,Bospolder,Speelplekje,41.7
11963,Hekendorpstraat,Groot IJsselmonde,Sport- en Speel,41.9
12179,Fioringras,Ommoord,Sport- en Speel,42.0
790,Schimmelpenninckstraat,Blijdorp,Speelplekje,42.1
12197,Beekweg,Zestienhoven,Pocketpark,42.4
1007,Boezemstraat,Oud Crooswijk,Sport- en Speel,42.5
1414,Gouvernestraat,Oude Westen,Speelplekje,42.6
11880,Hilledijk,Afrikaanderwijk,Sport- en Speel,42.6
723,Kapiteinsbuurt,Delfshaven,Sport- en Speel,42.7
11489,Arthur Cravanhof,Nesselande,Sport- en Speel,43.1
1047,Duivenvoordestraat,Middelland,Pocketpark,43.3
733,Compagniestraat,Delfshaven,Pocketpark,43.4
596,Prins der Nederlandenstraat,Dorp,Sport- en Speel,43.8
414,Immobilialaan,Hillesluis,Speelplekje,44.2
154,Meeuwenweide,Hoogvliet Zuid,Speelplekje,44.4
514,Kerkegrient,Oud Charlois,Speelplekje,44.5
1022,Van der Sluysstraat,Provenierswijk,speelplek,44.6
515,Dokhavenpark,Oud Charlois,Centrale Ontmoe,44.7
1222,Bolkruid,Ommoord,Sport- en Speel,44.7
592,Ponystraat,Dorp,Pocketpark,44.8
761,Kuipersstraat,Bospolder,Sport- en Speel,45.0
432,Schiedamsesingel,Cool,Sport- en Speel,45.1
1025,Keurmeesterstraat,Oud Crooswijk,Speelplekje,45.3
11163,Park de Hey,Heijplaat,Speelplekje,45.6
11247,Bovendijk,Zestienhoven,Speelplekje,45.8
494,Espelo,Zuidwijk,Speelplekje,45.8
10864,Van Haeftenstraat,Hillesluis,Sport- en Speel,45.9
11406,Heer Kerstantstraat,Oude Noorden,Pocketpark,46.0
1488,Mirretuin,Groot IJsselmonde,Speelplekje,46.1
10459,Boerschaplaan,Oud Crooswijk,Sport- en Speel,46.4
569,Kapershoekseweg,Hoogvliet Zuid,Speelplekje,46.4
11317,Diergaardesingel,Oude Westen,Speelplekje,46.7
11681,Zuiderparkpromenade-Oost,Zuiderpark,Sport- en Speel,46.7
1400,Juliana van Stolberglaan,Hillegersberg Zuid,Pocketpark,46.8
782,Van Malsenstraat,Hillesluis,Speelplekje,47.0
10894,Walravenstraat,Hillesluis,Speelplekje,47.0
10168,Nassauhaven,Feijenoord,Restruimte,47.0
10054,Krommenoord,Groot IJsselmonde,Pocketpark,47.2
1000,Ooienpad,Oud Crooswijk,Speelplekje,47.3
619,Jan Hoedemakerpad,Hoogvliet Zuid,Speelplekje,47.7
11980,Schiedamsesingel,Cool,Pocketpark,47.7
189,Fledermauspad,Hoogvliet Noord,Sport- en Speel,48.2
1535,Hoge Filterweg,De Esch,Speelplekje,48.7
336,Stampioenstraat,Feijenoord,Sport- en Speel,49.0
10924,Overijselsestraat,Hillesluis,Pocketpark,49.1
11975,Vaanweg,Zuiderpark,Centrale Ontmoe,49.4
10882,Jan Wilspad,Nesselande,Speelplekje,49.6
12276,Familie De Marsplein,Vreewijk,speelplek,50.1
44,Bergsonstraat,Lombardijen,Sport- en Speel,50.1
11371,Zonnehof,Vreewijk,Speelplekje,50.3
11271,Meeuwenweide,Hoogvliet Zuid,Sport- en Speel,50.6
669,Gedempte Zalmhaven,Stadsdriehoek,,50.7
11870,Waarsmanstraat,Oud IJsselmonde,Pocketpark,50.8
10984,Walstroplein,Terbregge,Sport- en Speel,50.8
937,Schinkelstraat,Kralingen West,Sport- en Speel,51.1
11223,Ruitwagen,Hoogvliet Zuid,Sport- en Speel,51.4
1019,Baljuwplein,Provenierswijk,Sport- en Speel,51.4
11848,Kedoestraat,Schiemond,Speelplekje,51.6
379,Zwederstraat,Bloemhof,Speelplekje,51.8
12237,Laan van Avant-Garde,Nesselande,Speelplekje,51.9
11778,Bas Jungeriusstraat,Tarwewijk,Restruimte,52.2
91,Vloedlijn,Hoogvliet Zuid,Sport- en Speel,52.2
501,Bornerveld,Zuidwijk,Speelplekje,52.6
90,Kribbinge,Hoogvliet Zuid,Sport- en Speel,52.8
1026,Vleeshouwerstraat,Oud Crooswijk,Restruimte,52.8
291,Cipreslaan,Schiebroek,Restruimte,53.3
11215,Elfstedenstraat,Groot IJsselmonde,Sport- en Speel,53.4
1230,Kuinder,Zevenkamp,Pocketpark,53.5
10092,Talmastraat,Bergpolder,Speelplekje,53.9
10704,President van Heelstraat,Dorp,Sport- en Speel,54.5
11395,Abtsweg,Kleinpolder,Pocketpark,54.8
11151,Reinier Kloegstraat,Hoogvliet Zuid,Speelplekje,54.9
1185,Theeroos,Ommoord,Pocketpark,55.1
672,Spijkenissestraat,Tarwewijk,Speelplek,55.3
401,Janne Bouwensstraat,Hillesluis,Sport- en Speel,55.4
12303,Pietje Bellstraat,Wielewaal,Speelplekje,55.5
11483,Korte Stadionweg,Feijenoord,Sport- en Speel,56.0
880,Kedoestraat,Schiemond,Sport- en Speel,56.0
12024,Noorderhavenkade,Blijdorp,Pocketpark,56.5
11259,Marlow Mosshof,Nesselande,Sport- en Speel,56.7
1396,Sint-Jacobsplaats,Stadsdriehoek,Sport- en Speel,56.9
12236,Pirandellostraat,Lombardijen,Pocketpark,57.0
11850,IJsselpad,Rozenburg,Sport- en Speel,57.1
1432,Van Harmelenstraat,Kleinpolder,Speelplekje,57.2
11997,Blankenburg,Rozenburg,Pocketpark,57.2
1184,Theeroos,Ommoord,Speelplekje,57.3
11700,Ooltgensplaathof,Pendrecht,Sport- en Speel,57.3
843,Pijnackerplein,Oude Noorden,Sport- en Speel,57.5
12292,Vaanweg,Zuiderpark,Centrale Ontmoe,57.7
1307,Kreeftstraat,Oosterflank,Speelplekje,57.8
10291,Nicolaas Beetsstraat,Spangen,Sport- en Speel,58.8
1240,Kuinder,Zevenkamp,Pocketpark,58.9
10148,Zuster Hennekeplein,Provenierswijk,Sport- en Speel,59.3
1179,Bottelroos,Ommoord,Speelplekje,59.4
11378,Samuel Mullerstraat,Nieuwe Westen,Restruimte,59.5
555,Streefkerkstraat,Heijplaat,Speelplekje,59.8
11171,Spuikade,Oud Charlois,Sport- en Speel,59.9
917,Jeruzalemstraat,Kralingen West,Pocketpark,60.0
63,Hoornklaver,Ommoord,Speelplekje,60.2
10012,Ringersplaats,Kralingen West,Sport- en Speel,60.3
10074,Van Heukelomstraat,Het Lage Land,Sport- en Speel,60.3
1087,Dijkmeesterpad,Oud IJsselmonde,Pocketpark,60.4
12239,Hollandsestraat,Hillesluis,Sport- en Speel,60.7
1001,Hoendiep,Oud IJsselmonde,Sport- en Speel,60.8
867,Disselstraat,Vreewijk,Pocketpark,60.8
290,Wessel Gansfortweg,Schiebroek,Sport- en Speel,61.1
11265,Volmarijnstraat,Middelland,Restruimte,61.3
